Word,Count
coats,3
stopping,3
incoherent,3
instantly,3
goin,3
decision,3
worth,3
damn,3
difficulty,3
drawer,3
mattress,3
needed,3
towns,3
minister,3
younger,2
advice,2
unusually,2
consequence,2
reserve,2
judgements,2
habit,2
attach,2
accused,2
unknown,2
hostile,2
unmistakable,2
terms,2
express,2
marred,2
obvious,2
infinite,2
missing,2
snobbishly,2
admission,2
limit,2
marshes,2
riotous,2
represented,2
personality,2
unbroken,2
gestures,2
machines,2
creative,2
foul,2
abortive,2
tradition,2
descended,2
actual,2
special,2
painting,2
hangs,2
fathers,2
delayed,2
learn,2
support,2
prep,2
school,2
commuting,2
cardboard,2
eighty,2
firm,2
cooked,2
lonely,2
freedom,2
neighbourhood,2
bursts,2
growing,2
securities,2
shelf,2
besides,2
rented,2
strangest,2
america,2
due,2
yorkand,2
natural,2
identical,2
contour,2
separated,2
courtesy,2
jut,2
resemblance,2
gulls,2
fashionable,2
squeezed,2
fifteen,2
beard,2
eyesore,2
consoling,2
proximity,2
begins,2
powerful,2
ends,2
football,2
acute,2
excellence,2
forest,2
generation,2
wealthy,2
wherever,2
iti,2
windy,2
jumping,2
burning,2
vines,2
riding,2
legs,2
sturdy,2
supercilious,2
arrogant,2
established,2
appearance,2
aggressively,2
muscle,2
shifting,2
capable,2
gruff,2
tenor,2
paternal,2
contempt,2
hated,2
matters,2
final,2
society,2
defiant,2
flashing,2
restlessly,2
sweep,2
sunken,2
tide,2
oil,2
rosycoloured,2
ajar,2
twisting,2
flight,2
boom,2
motionless,2
apology,2
conscientious,2
happiness,2
rate,2
bakers,2
speech,2
arrangement,2
notes,2
hovering,2
wail,2
worry,2
uttered,2
deft,2
sofa,2
sunstrained,2
contemptuously,2
reply,2
diminished,2
itll,2
whatll,2
finger,2
hurt,2
accusingly,2
marrying,2
crossly,2
impersonal,2
desire,2
disappointed,2
impressive,2
gotten,2
coloured,2
submerged,2
scientific,2
sadness,2
heavily,2
winked,2
produced,2
science,2
concentration,2
seized,2
momentary,2
affect,2
affection,2
confirmation,2
warmth,2
excused,2
exchanged,2
alertly,2
sh,2
audible,2
ceased,2
happens,2
decency,2
flutter,2
sang,2
miserably,2
startlingly,2
pointlessly,2
avoid,2
metallic,2
horses,2
pleasantly,2
verandas,2
gloom,2
wicker,2
settee,2
turbulent,2
cousins,2
cynical,2
daughter,2
abandoned,2
everythings,2
everywhere,2
distinguished,2
crimson,2
murmurous,2
soothing,2
palm,2
unpleasant,2
softly,2
confirmed,2
marriage,2
linen,2
push,2
coldly,2
weekends,2
influence,2
crept,2
advised,2
kindly,2
gossip,2
reasons,2
remotely,2
intentions,2
stale,2
roadhouse,2
roofs,2
silhouette,2
wavered,2
regarding,2
secure,2
local,2
sworn,2
runs,2
farm,2
wheat,2
ashgrey,2
dimly,2
ghastly,2
spectacles,2
practice,2
river,2
stare,2
acquaintances,2
literally,2
forced,2
