,Word,romeoandjuliet,greatgatsby,mobydick,querybook
508,laid,5.0,1.0,20.0,6.0
509,quoth,5.0,0.0,0.0,1.0
510,honour,5.0,2.0,0.0,10.0
511,already,5.0,15.0,32.0,6.0
512,brief,5.0,0.0,10.0,5.0
513,yourself,5.0,7.0,26.0,14.0
514,iv,5.0,1.0,4.0,4.0
515,excuse,5.0,5.0,2.0,0.0
516,dance,5.0,6.0,6.0,0.0
517,wings,5.0,3.0,7.0,2.0
518,rude,5.0,1.0,5.0,2.0
519,wits,5.0,0.0,1.0,5.0
520,ask,5.0,15.0,10.0,2.0
521,asleep,5.0,10.0,6.0,2.0
522,shape,5.0,8.0,17.0,6.0
523,half,5.0,36.0,88.0,5.0
524,state,5.0,2.0,21.0,15.0
525,fingers,5.0,10.0,13.0,4.0
526,dreams,5.0,7.0,7.0,3.0
527,untimely,5.0,0.0,2.0,1.0
528,v,5.0,1.0,4.0,3.0
529,hall,5.0,15.0,3.0,4.0
530,ready,5.0,3.0,37.0,4.0
531,longer,5.0,14.0,17.0,5.0
532,ist,5.0,0.0,2.0,17.0
533,blessed,5.0,4.0,11.0,0.0
534,wherefore,5.0,0.0,13.0,3.0
535,patience,5.0,0.0,4.0,5.0
536,took,5.0,48.0,49.0,4.0
537,prepare,5.0,0.0,2.0,3.0
538,yond,5.0,0.0,0.0,1.0
539,heir,5.0,0.0,1.0,1.0
540,wedding,5.0,4.0,5.0,1.0
541,power,5.0,3.0,38.0,8.0
542,satisfied,5.0,0.0,5.0,1.0
543,return,5.0,1.0,11.0,5.0
544,tear,5.0,0.0,5.0,3.0
545,fain,5.0,0.0,20.0,4.0
546,form,5.0,3.0,42.0,13.0
547,trust,5.0,6.0,3.0,2.0
548,lawrences,5.0,0.0,0.0,0.0
549,mans,5.0,6.0,51.0,5.0
550,ring,5.0,2.0,14.0,2.0
551,theres,5.0,21.0,59.0,18.0
552,chide,5.0,0.0,0.0,1.0
553,sure,5.0,17.0,44.0,9.0
554,lamentable,5.0,0.0,1.0,0.0
555,ease,5.0,3.0,9.0,4.0
556,hare,5.0,0.0,0.0,0.0
557,commend,5.0,0.0,1.0,4.0
558,joyful,5.0,0.0,3.0,0.0
559,simple,5.0,1.0,10.0,1.0
560,reason,5.0,6.0,63.0,14.0
561,mercutios,5.0,0.0,0.0,0.0
562,falls,5.0,1.0,2.0,9.0
563,slew,5.0,0.0,2.0,0.0
564,slay,5.0,0.0,3.0,1.0
565,point,5.0,8.0,67.0,6.0
566,mercy,5.0,0.0,9.0,5.0
567,living,5.0,3.0,70.0,2.0
568,ha,5.0,0.0,32.0,11.0
569,hang,5.0,0.0,4.0,4.0
570,drink,5.0,12.0,18.0,15.0
571,wake,5.0,3.0,39.0,1.0
572,chorus,4.0,2.0,5.0,1.0
573,fatal,4.0,0.0,17.0,0.0
574,rage,4.0,0.0,9.0,3.0
575,remove,4.0,0.0,5.0,2.0
576,weak,4.0,0.0,1.0,2.0
577,women,4.0,14.0,9.0,0.0
578,fought,4.0,1.0,4.0,1.0
579,cut,4.0,5.0,45.0,2.0
580,known,4.0,12.0,76.0,8.0
581,begin,4.0,3.0,12.0,5.0
582,kinsmen,4.0,0.0,1.0,0.0
583,beats,4.0,0.0,2.0,1.0
584,beat,4.0,9.0,23.0,0.0
585,spite,4.0,1.0,18.0,1.0
586,seek,4.0,0.0,15.0,9.0
587,steel,4.0,0.0,29.0,3.0
588,veins,4.0,0.0,5.0,0.0
589,torture,4.0,0.0,1.0,0.0
590,quiet,4.0,5.0,12.0,5.0
591,streets,4.0,3.0,14.0,2.0
592,pay,4.0,4.0,17.0,4.0
593,depart,4.0,0.0,4.0,1.0
594,along,4.0,31.0,110.0,3.0
595,fray,4.0,0.0,1.0,0.0
596,golden,4.0,5.0,20.0,3.0
597,window,4.0,17.0,14.0,1.0
598,east,4.0,22.0,17.0,1.0
599,walk,4.0,5.0,8.0,9.0
600,city,4.0,19.0,13.0,2.0
601,towards,4.0,5.0,113.0,0.0
602,sought,4.0,2.0,18.0,0.0
603,mornings,4.0,1.0,2.0,0.0
604,dew,4.0,2.0,2.0,3.0
605,daylight,4.0,1.0,9.0,0.0
606,uncle,4.0,0.0,2.0,9.0
607,secret,4.0,7.0,23.0,4.0
608,sadness,4.0,2.0,1.0,1.0
609,anything,4.0,27.0,43.0,5.0
610,coz,4.0,0.0,0.0,0.0
611,rather,4.0,25.0,68.0,5.0
612,griefs,4.0,1.0,2.0,1.0
613,tut,4.0,0.0,1.0,0.0
614,forsworn,4.0,0.0,0.0,0.0
615,vow,4.0,0.0,3.0,2.0
616,hers,4.0,3.0,0.0,0.0
617,note,4.0,4.0,4.0,6.0
618,woo,4.0,0.0,0.0,1.0
619,shut,4.0,3.0,11.0,1.0
620,signior,4.0,0.0,0.0,0.0
621,supper,4.0,5.0,28.0,2.0
